Epoch|TrainCost|TrainAll|TrainRoot|TestCost|TestAll|TestRoot
0|32.128942|69.789568|23.455056|31.068058|69.565375|21.855204
1|28.197035|70.946883|27.528090|28.923126|70.246973|23.665158
2|26.631424|71.785914|28.370787|27.972203|70.397094|23.167421
3|25.637912|72.349976|28.335674|27.388676|70.899516|23.393665
4|24.950957|72.911213|29.880618|27.070267|71.358354|24.932127
5|24.286817|73.458325|30.442416|26.691220|71.369249|24.751131
6|24.014255|73.655448|30.395599|26.660512|71.674334|27.013575
7|22.946368|75.038138|31.296816|25.825355|72.745763|29.140271
8|22.271773|75.619150|32.525749|25.431430|73.069007|29.185520
9|21.769836|76.283971|33.567416|25.314532|73.537530|30.090498
10|21.488637|76.839872|34.691011|26.029725|73.495157|29.547511
11|21.144322|77.219366|36.446629|25.376141|73.693705|30.950226
12|21.705105|76.753866|32.397004|25.144363|74.420097|31.628959
13|20.386663|78.187405|34.515449|24.790073|74.562954|32.262443
14|19.829248|79.020472|37.148876|24.827301|75.019370|33.076923
15|19.307574|79.641976|38.120318|24.714883|75.223971|31.900452
16|19.115541|79.815558|36.013577|24.679748|75.171913|31.447964
17|18.929906|80.316842|39.208801|24.841312|75.307506|34.886878
18|19.715261|79.209120|33.333333|24.274238|75.845036|33.303167
19|18.629863|80.709519|37.102060|24.431618|76.167070|32.986425
20|17.904445|81.455638|37.500000|24.411920|76.117433|34.298643
21|17.575339|82.069295|40.402622|24.479033|76.790557|36.515837
22|17.802872|82.216509|40.273876|24.239242|76.909201|37.737557
23|17.382652|82.524436|41.947566|24.190053|76.819613|37.194570
24|18.241097|81.305284|35.814607|23.761209|76.854722|34.705882
25|17.242672|82.485828|39.173689|23.529179|77.089588|35.067873
26|17.008531|82.857161|40.121723|23.844827|77.374092|35.791855
27|16.415895|83.398309|42.052903|23.788706|77.629540|36.923077
28|16.254523|83.448845|41.830524|23.638039|77.561743|38.190045
29|15.900744|83.858159|42.825375|23.648441|77.714286|37.782805
30|16.620699|83.224099|39.548221|23.960254|77.510896|35.475113
31|15.915477|83.988424|42.134831|23.743970|78.016949|35.429864
32|15.381826|84.420652|43.176498|23.472820|78.095642|37.375566
33|15.059806|84.686831|44.077715|23.596279|78.345036|37.556561
34|14.973148|84.686203|43.293539|23.550244|78.072639|38.823529
35|14.800642|84.837499|44.171348|23.805836|77.813559|37.511312
36|16.033869|83.516646|40.028090|23.488505|77.852300|37.601810
37|15.204774|84.479977|42.837079|23.857277|78.060533|36.018100
38|14.943482|84.754004|42.837079|23.534703|77.989104|37.285068
39|14.656587|85.044981|43.726592|23.944156|78.243341|37.601810
40|14.376811|85.234257|43.831929|23.679823|78.352300|37.058824
41|14.196515|85.451155|44.709738|23.632368|78.550847|37.647059
42|15.800491|83.841523|39.103464|23.646833|78.169492|37.058824
43|14.772467|84.820549|42.169944|23.385785|78.445521|37.194570
44|14.282969|85.278829|42.872191|24.090792|78.311138|35.429864
45|14.222610|85.252462|43.164794|23.268255|78.479419|35.837104
46|13.862301|85.630073|44.147940|23.485532|78.468523|36.289593
47|13.693734|85.728321|44.686330|23.559188|78.384988|36.606335
48|14.877716|84.369801|41.970974|23.207610|78.111380|36.561086
49|14.338580|84.941710|42.521067|22.946837|77.992736|37.466063
50|13.934864|85.452097|45.587547|23.465585|78.443099|38.416290
51|13.462859|85.984456|47.308052|23.366554|78.542373|39.592760
52|13.264635|86.158038|47.811330|23.200643|78.636804|38.687783
53|13.067882|86.425473|48.103933|23.939152|78.731235|38.506787
54|14.063068|85.322460|44.569288|23.145126|78.561743|36.651584
55|13.431083|85.927328|46.172753|23.267476|78.745763|39.366516
56|13.073056|86.290500|47.249532|23.177220|78.826877|39.140271
57|13.023442|86.300230|47.530431|23.546003|78.433414|39.366516
58|13.050237|86.183777|46.605805|23.476205|78.613801|38.823529
59|12.743865|86.545693|47.191011|23.758794|78.750605|38.959276
