Epoch|TrainCost|TrainAll|TrainRoot|TestCost|TestAll|TestRoot
0|32.478575|69.370523|25.550094|31.191386|69.365617|23.981900
1|28.448492|70.663754|27.153558|29.098581|70.033898|25.158371
2|26.891498|71.370636|28.253745|28.097253|70.399516|24.796380
3|25.920552|72.109849|28.862360|27.541989|70.788136|24.389140
4|25.104535|72.602658|29.154963|27.205480|70.556901|25.384615
5|24.486225|72.978699|30.102996|26.870675|70.969734|25.022624
6|24.680299|72.882649|27.738764|26.316617|71.602906|24.796380
7|23.445346|74.172427|30.079588|26.147816|72.119855|27.013575
8|22.981056|74.678419|29.728464|25.922907|72.645278|26.968326
9|22.502409|75.113472|30.571161|25.853170|72.303874|25.294118
10|22.235542|75.433326|30.407303|25.494961|73.035109|26.334842
11|21.796609|76.054203|33.649345|25.573795|73.343826|30.588235
12|22.320295|75.895374|30.149813|25.695727|73.869249|29.411765
13|21.198302|77.026637|33.532303|25.087443|73.852300|29.683258
14|20.490028|77.837731|34.878277|24.849936|74.621065|31.357466
15|19.993715|78.558738|36.493446|24.968987|74.665860|31.945701
16|19.708295|78.958322|37.230805|24.639827|75.131961|31.764706
17|19.651309|79.108361|38.003277|24.491999|75.147700|32.398190
18|20.481848|78.239825|35.779494|24.811416|75.244552|32.760181
19|19.404790|79.491622|33.146067|24.605735|75.375303|29.592760
20|18.738066|80.514593|34.889981|24.284825|76.173123|29.502262
21|18.143392|81.343265|37.148876|24.170459|76.593220|33.122172
22|17.818961|81.829796|38.307584|24.071699|76.624697|32.171946
23|17.577646|82.209604|40.227060|24.205033|76.881356|33.212670
24|18.296675|81.128563|38.014981|23.778373|77.215496|35.520362
25|17.621944|82.074945|36.715824|23.983142|77.430993|33.122172
26|17.237696|82.607618|38.342697|23.644487|77.337772|32.533937
27|17.949570|81.289589|37.886236|24.764997|76.358354|30.407240
28|17.290159|82.427130|37.418071|23.910865|77.200969|33.257919
29|16.585673|83.144685|40.367509|23.989470|77.381356|33.348416
30|17.384353|82.687974|38.565075|23.341465|77.744552|34.162896
31|16.427964|83.446962|40.941011|23.501513|77.631961|32.986425
32|15.994375|83.807623|41.842228|23.535173|77.730024|33.348416
33|15.765918|84.135325|42.696629|23.754890|77.653753|34.117647
34|15.733479|84.252406|43.668071|23.897427|77.740920|35.022624
35|15.810801|83.988110|42.169944|23.863793|77.811138|34.570136
36|16.854565|83.055854|39.676966|23.278342|78.025424|34.886878
37|15.862369|83.753319|41.631554|23.323736|77.719128|34.027149
38|15.705132|84.140347|41.701779|23.743987|77.774818|35.248869
39|15.546730|84.351596|42.146536|23.591791|78.049637|36.787330
40|15.843539|84.197789|42.450843|23.884637|77.920097|34.343891
41|15.663309|84.255231|41.947566|23.562122|78.219128|35.610860
42|15.657584|84.005060|41.058052|23.112378|78.262712|34.208145
43|15.065562|84.635353|42.837079|23.407971|78.290557|36.561086
44|14.915712|84.570691|42.720037|23.164033|78.400726|35.656109
45|14.476542|85.154215|44.124532|23.419311|78.354722|36.968326
46|14.207085|85.448644|46.371723|23.322485|78.485472|38.461538
47|14.016433|85.660835|47.050562|23.359072|78.575061|38.009050
48|15.260936|84.302001|41.807116|23.581963|78.278450|35.429864
49|14.577451|85.012964|43.831929|23.444662|78.276029|35.610860
50|14.774454|84.251464|43.094569|23.673094|78.073850|37.058824
51|14.330926|84.989422|44.206461|23.751102|78.147700|36.018100
52|14.042683|85.263135|44.908708|23.562351|78.076271|36.018100
53|13.913206|85.302685|44.440543|23.377821|78.243341|34.796380
54|14.695891|84.551858|42.567884|23.075816|78.277240|36.425339
55|13.909056|85.308963|44.499064|23.232456|78.444310|36.199095
56|13.920782|85.231118|40.987828|23.770850|78.424939|34.705882
57|13.677597|85.709488|45.868446|23.132126|78.600484|37.375566
58|13.458329|85.869258|44.885300|23.203877|78.697337|35.882353
59|13.162615|86.170593|46.196161|23.700198|78.429782|36.923077
